comp_1,comp_2,smile_1,smile_2
CHEBI:80747,CHEBI:52134,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1)C([O-])=O
CHEBI:80747,CHEBI:7728,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,CCCCCCCCN
CHEBI:80747,CHEBI:80748,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,CC(C)[C@H]1CC[C@@]2(C)CCCC(=O)[C@@]2(C)C1
CHEBI:9657,CHEBI:100636,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
CHEBI:9657,CHEBI:124254,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:9657,CHEBI:15825,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,CC(C)=CC=O
CHEBI:9657,CHEBI:16286,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
CHEBI:9657,CHEBI:166,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,C[C@H]1CC[C@H](CC1=O)C(C)=C
CHEBI:9657,CHEBI:16632,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,COc1cc(ccc1O)C([O-])=O
CHEBI:9657,CHEBI:16825,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,CN=C(C)[C@H](O)c1ccccc1
CHEBI:9657,CHEBI:17244,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,OC1C=Cc2nc(O)ccc2C1O
CHEBI:9657,CHEBI:212,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,CC(=O)CC[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)C(C)=C
CHEBI:9657,CHEBI:2220,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,O[C@@H]1CO[C@@H](OC[C@H]2O[C@@H](O[*])[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
CHEBI:9657,CHEBI:27808,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,[H][C@]12C=C[C@H](OC(C)=O)[C@@H]3Oc4c(OC(C)=O)ccc5C[C@H]1N(C)CC[C@@]23c45
CHEBI:9657,CHEBI:27825,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:9657,CHEBI:28142,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,OC(O)C(Cl)(Cl)Cl
CHEBI:9657,CHEBI:29055,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,Oc1ccc(CC(=O)C([O-])=O)cc1O
CHEBI:9657,CHEBI:34809,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
