,comp_1,comp_2
652,CHEBI:24315,CHEBI:616
653,CHEBI:24315,CHEBI:69014
654,CHEBI:24315,CHEBI:7728
655,CHEBI:31307,CHEBI:100636
656,CHEBI:31307,CHEBI:10112
657,CHEBI:31307,CHEBI:124254
658,CHEBI:31307,CHEBI:129650
659,CHEBI:31307,CHEBI:140622
660,CHEBI:31307,CHEBI:15492
661,CHEBI:31307,CHEBI:15657
662,CHEBI:31307,CHEBI:15825
663,CHEBI:31307,CHEBI:16074
664,CHEBI:31307,CHEBI:16286
665,CHEBI:31307,CHEBI:166
666,CHEBI:31307,CHEBI:16770
667,CHEBI:31307,CHEBI:17020
668,CHEBI:31307,CHEBI:17330
669,CHEBI:31307,CHEBI:18298
670,CHEBI:31307,CHEBI:20384
671,CHEBI:31307,CHEBI:2220
672,CHEBI:31307,CHEBI:27651
673,CHEBI:31307,CHEBI:27739
674,CHEBI:31307,CHEBI:27825
675,CHEBI:31307,CHEBI:28071
676,CHEBI:31307,CHEBI:28142
677,CHEBI:31307,CHEBI:28359
678,CHEBI:31307,CHEBI:28502
679,CHEBI:31307,CHEBI:28708
680,CHEBI:31307,CHEBI:30717
681,CHEBI:31307,CHEBI:30718
682,CHEBI:31307,CHEBI:37476
683,CHEBI:31307,CHEBI:39750
684,CHEBI:31307,CHEBI:47029
685,CHEBI:31307,CHEBI:48242
686,CHEBI:31307,CHEBI:616
687,CHEBI:31307,CHEBI:6690
688,CHEBI:31307,CHEBI:67246
689,CHEBI:31307,CHEBI:7020
690,CHEBI:31307,CHEBI:7728
691,CHEBI:31307,CHEBI:8036
692,CHEBI:31307,CHEBI:89678
693,CHEBI:31307,CHEBI:9424
694,CHEBI:76605,CHEBI:124254
695,CHEBI:76605,CHEBI:15825
696,CHEBI:76605,CHEBI:166
697,CHEBI:76605,CHEBI:17344
698,CHEBI:76605,CHEBI:28416
699,CHEBI:76605,CHEBI:28996
